Title,Name,Location
(주)스타랩스 WEB 개발자 정규직,스타랩스,서울 강남구
기술 문서 작성 전문가,딥엑스,성남 분당구
데이터 사이언스 분야 경력,LG전자,서울특별시
[TmaxEdu/R&D] Edu 연구 개발자,티맥스소프트,성남 분당구
상점 계약 운영기획 담당자,메쉬코리아,서울 강남구
웹 스크래핑 개발자 영입,카카오페이,성남 분당구
"경력신입사원 -본사, 울산공장",KP그룹,서울
Data 분야 경력,LG CNS,서울
[인재 Pool / 상시 / 신입] R&D 박사,앰코테크놀로지코리아,인천 연수구
AI Edge Device 임베디드 SW 개발자,디텍,성남 분당구
코미코 데이터 사이언티스트,NHN,성남 판교역
프론트엔드 개발자/디자이너/기획/마케터 정직원,마이플래닛,성남 수정구
Data Engineer 신입사원,플리토,서울 강남구
[마비노기모바일] 연구 개발 프로그래머,데브캣,서울 강남구
딥러닝 AI 개발 연구원,베이리스,성남 수정구
[HW직군 R&D Track] 2022년 하반기 수시,쎄트렉아이,대전 유성구
[디엠씨코넷] 빅데이터 예측분석과 모델링 활용한 서비스 개발자 양성과정 교육생,링크드코리아,서울
[11번가] 리테일 상품 Selection Planning 담당자,십일번가,서울 중구
[MUSMA] IT 솔루션 스타트업 Data Science 팀원,무스마,서울
금융공학연구소 신입/경력 (전문연구요원 포함) ~7/17(일) 마감,연합인포맥스,서울 종로구
"Staff, Data Scientist (Rocket on-demand, 제트배송)",Coupang,서울
"[양재역] AI/빅데이터 Data Scientist (석,박사)",시니어앤파트너즈,서울 서초구
파이썬 개발자 초중급 이상,데이터앤솔루션,서울 서초구
ML/DL Data Scientist,현대카드 캐피탈,서울 영등포구
경남 인공지능/블록체인 교육과정 (2022 ICT이노베이션스케워 확산 사업),재단법인 한국에이아이블록체인융합원,대한민국
[TmaxAI/R&D] NLP/음성 부문 AI모델 개발자(*전문연구요원 병역특례포함),티맥스소프트,성남 분당구
[Blade&Soul] 클라이언트 프로그래머 모집,엔씨소프트,성남 판교역
[선릉역] Customer Support 엔지니어 (사원급),시니어앤파트너즈,서울 강남구
Software Engineer,Google,서울
Python Developer (Internal Product),비바리퍼블리카,서울 강남구
제어시스템개발팀 로봇 응용 SW 개발자,클로봇,성남 분당구
[실내배송로봇 연구개발] - Robotics Software Engineer 외,로보티즈,서울 강서구
Software Engineer Intern,Intel,서울
"환경차 배터리시스템 설계[연구원, 책임연구원]",현대자동차그룹,대한민국
[신입/경력] 의료영상/음성인식/생체신호 연구원,뷰노코리아,서울 서초구
AI / Big Data 전문가 - 글로벌 전자대기업,에스에프인촌,서울
[선행기술원] 연구개발기술분석 _ SW기술분석[책임연구원],현대자동차그룹,성남 판교역
"R&D Engineer, Sr Staff",Synopsys,경기도 성남
데이터 기반 의사결정 지원 서비스 개발자 모집,카카오,성남 판교역
[포티투마루] 인공지능(AI) 챗봇사업부 전 직군,포티투마루,서울 서초구
[현대무벡스] 경력사원 상시,현대무벡스,서울 종로구
"Data Scientist, Mid",Booz Allen Hamilton,경기도 평택
[SW개발] AI 알고리즘 엔지니어 계약직 담당자 (경력/계약),케이씨텍,경기도 화성
카카오 전체의 계정 플랫폼을 만들 서버개발자 모집,카카오,성남 판교역
[디엠씨코넷] 빅데이터 분석 기반 비즈니스개발자 양성 & 취업연계 과정 교육생,링크드코리아,세종특별자치시 세종
악성코드 및 엔드포인트 보안 엔지니어 모집,카카오,성남 판교역
IT 인프라 운영 도구 개발,NHN Cloud,성남 판교역
반도체 Marketing,회사명,성남 분당구
DT운영팀 경력직,에스케이쉴더스,서울 강남구
"Actuary, IFRS 17 & K-ICS & Valuation",Munich Re,서울
[Cartier] Data Analyst,Cartier,서울
[뉴플랫폼기술] Kubernetes Engineer,한국카카오은행,성남 분당구
[디엠씨코넷] 메타버스 구축 위한 XR 콘텐츠 프로그래밍 과정 교육생,링크드코리아,서울
(주)작당모의 앱 개발자,작당모의,서울 서초구
스마트 교통 시스템 S/W 개발자 (신입),몹티콘,서울 구로구
"[대기업] 딥러닝 (AI, 영상인식) 전문가 (석박사급)",비에이블컨설팅그룹,서울
소프트웨어(SW) 개발,리버트론,서울 영등포구
Machine Learning Engineer Intern - Korea,MOLOCO,서울
서버 개발자 Python(Django) Developer (경력),아테나스랩,서울 마포구
Ultrasound Engineer,지멘스헬시니어스,성남 분당구
클라우드 보안 엔지니어,뱅크샐러드,서울 영등포구
카카오 전사QA 모집,카카오,성남 판교역
2022 서울로봇아카데미 교육생,서울로봇아카데미,서울 강남구
AI 모빌리티 서비스의 미래 함께 열어갈 우수한 인재 찾습니다.,라온로드,성남 분당구
"AI연구원(NLP, CV) (일6시간, 주5일)",웨인힐스벤처스,서울 강서구
[외국계 스타트업 미소] Data Analyst,유한회사 미소,서울
[공채] 2022년 수시 R&D센터 5개 부문(7월17일 마감),에스에프에이,경기도 화성
DNN 모델 개발 엔지니어,딥엑스,성남 분당구
"인포테인먼트 기획[연구원, 책임연구원]",현대자동차그룹,서울 강남구
"[AIRS] Data Scientist[연구원, 책임연구원]",현대자동차그룹,서울 강남구
[응용분석팀] 사용자 프로파일 연구 및 개발,카카오,성남 판교역
"Mondrian AI개발자 (Web, 프론트엔드, 백엔드)",몬드리안에이아이,인천 연수구
워라밸 중시하는 스타트업 프론트엔드/백엔드 웹프로그래머,인포플라,서울 강남구
"스팸 및 어뷰징 분석/대응(서버개발, 머신러닝)",카카오,성남 판교역
[클라우드플랫폼실] System Engineering팀 클라우드 엔지니어,야놀자,서울 강남구
모바일 RPG 게임 기획/개발자 과정 교육생,경일게임아카데미,서울 강동구
딥엑스 NPU SDK (DXNN) 개발 엔지니어,딥엑스,성남 분당구
[정보보안] 침해대응[매니저],현대자동차그룹,대한민국
Developer Associate,SAP,서울
부문별 직원,경복대학교,경기도 포천
[2022 전문연구요원] AI R&D - Language AI,엔씨소프트,성남 판교역
[농심ENG] 신입/경력사원 정기채용,농심그룹,서울 신대방동
[SNOW] 렌더링 엔진 개발자,네이버,서울
BRAIN Researcher,WorldQuant,서울
Technical Consultant,Veeva Systems,경기도
[11번가] 데이터 아키텍처 분야,십일번가,서울 중구
금융 AI (시장 이해) 연구 개발자 모집,엔씨소프트,성남 판교역
8퍼센트 개발자 (신입/경력),8퍼센트,서울 종로구
네트워크 보안 담당자 채용,케이뱅크은행,서울 중학동
게임 UI Framework 웹 에디터와 서비스를 개발할 프론트엔드 프로그래머 모집,엔씨소프트,성남 판교역
블록체인 기반 신규 서비스 개발자 (신입/경력),게임빌컴투스플랫폼,서울 금천구
카카오커머스 데이터 분석 엔지니어 모집,카카오,성남 판교역
3C코딩강사 양성과정 교육생,경기도일자리재단,경기도 의정부
가상자산 트레이딩 / 시스템 개발자,블록투리얼,서울 강남구
(주)리얼데이터 분석컨설팅 인력,리얼데이터,서울 성동구
[신입] 미래 인재 DB,현대오토에버,서울
[데이터 프로덕트] 데이터 엔지니어 모집,카카오,성남 판교역
Software Engineer,GE Healthcare,경기도 성남
생명정보학 부문 박사졸 선임연구원 정규직 정규직,카이팜,서울 서대문구
[전문연구요원] 반도체IP SW 개발자,칩스앤미디어,서울 강남구
[AIRS] 모빌리티 서비스 데이터 개발[연구원],현대자동차그룹,서울 강남구
[주4.5일] 딥러닝 연구 개발자,인라이플,서울 구로구
[DB하이텍] 2022년 7월 경력사원,DB하이텍,경기도 부천
S/W 개발자,포산인더스트리,고양 일산동구
[NHN SOFT] Back-End 경력 개발자,엔에이치엔소프트,성남 분당구
데이터 전문가(모델러/분석가/엔지니어) 모집,카카오,성남 판교역
Data Analyst,Toss,서울
금융 AI (투자 전략) 연구 개발자 모집,엔씨소프트,성남 판교역
Software Engineer,Maxim Integrated,서울
각 경력 구성원 인재 Pool(개발분야),에스케이엠앤서비스,서울 중구
IT엔지니어 (미경험・해외 거주자OK!),kedomo,대한민국
AI 비정형 모델 개발,신한에이아이,서울 영등포구
"전사 협업 플랫폼(Jira, Confluence, Slack) 운영 담당자 영입",카카오페이,성남 백현동
[Env스튜디오] DX/EX 플랫폼 솔루션/시스템 엔지니어,한국카카오은행,성남 분당구
[11번가] 금융플랫폼 Back-End Server 개발 분야,십일번가,서울 중구
"제6,7회 지방임기제공무원 환경교실운영 채용시험 재공고",수원시청,수원 인계동
IT Ops Engineer,비바리퍼블리카,서울 강남구
[통합예약솔루션사업부문] 웹 서비스/운영 주니어 개발자. 경력직,에이치투오호스피탈리티,서울 강남구
Python 분석 인원 정규직 채용,(주)스마트모빌러티 관심기업,서울 휘경동
[NIT Service] 네이버 파이낸셜 플랫폼 운영,엔아이티서비스,성남 분당구
"[리얼클래스]백엔드 개발자 (Backend Developer, Python)",퀄슨,서울 강남구
컴파일러 엔지니어(딥엑스),딥엑스,성남 분당구
패션고 추천 플랫폼 개발/데이터 엔지니어링,NHN FashionGo korea,성남 판교역
[단기계약직] 데이터 수집 및 전처리 작업자 모집,엔씨소프트,성남 판교역
